Category	Method	Endpoint	Description	Auth/Public	Request Body	Responses
Contract	POST	/api/v1/contracts/room/{roomId}/enterprise-sign	Doanh nghiệp ký hợp đồng (đánh dấu đã ký)	Public		"OK (200):
{
  ""id"": ""string"",
  ""roomId"": ""string"",
  ""bulkSaleId"": ""string"",
  ""productName"": ""string"",
  ""cooperativeId"": ""string"",
  ""cooperativeName"": ""string"",
  ""cooperativeAddress"": ""string"",
  ""cooperativePhone"": ""string"",
  ""cooperativeRepresentative"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""enterpriseAddress"": ""string"",
  ""enterprisePhone"": ""string"",
  ""enterpriseTaxCode"": ""string"",
  ""enterpriseRepresentative"": ""string"",
  ""agreedPrice"": {},
  ""agreedQuantity"": {},
  ""deliveryDate"": ""string"",
  ""terms"": ""string"",
  ""documentUrl"": ""string"",
  ""status"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string"",
  ""enterpriseSignatoryName"": ""string"",
  ""enterpriseSigned"": true,
  ""enterpriseSignedAt"": ""string""
}"
Contract	POST	/api/v1/contracts/ai-draft/{roomId}	AI tự động trích xuất thông tin hợp đồng từ lịch sử chat	Public		"OK (200):
{
  ""roomId"": ""string"",
  ""bulkSaleId"": ""string"",
  ""cooperativeId"": ""string"",
  ""enterpriseId"": ""string"",
  ""productName"": ""string"",
  ""quantity"": ""string"",
  ""unitPrice"": ""string"",
  ""deliveryDate"": ""string"",
  ""deliveryLocation"": ""string"",
  ""aiGenerated"": true
}"
chat-web-socket-controller	GET	/api/v1/chat/rooms		Public		OK (200):
chat-web-socket-controller	POST	/api/v1/chat/rooms		Public	Ref: CreateChatRoomRequest	"OK (200):
{
  ""id"": ""string"",
  ""bulkSaleId"": ""string"",
  ""productName"": ""string"",
  ""cooperativeId"": ""string"",
  ""cooperativeName"": ""string"",
  ""cooperativeAvatarUrl"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""enterpriseAvatarUrl"": ""string"",
  ""status"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string""
}"
chat-web-socket-controller	GET	/api/v1/chat/rooms/{roomId}/messages		Public		OK (200):
chat-web-socket-controller	POST	/api/v1/chat/rooms/{roomId}/messages		Public	Ref: SendChatMessageRequest	"OK (200):
{
  ""id"": ""string"",
  ""senderId"": ""string"",
  ""senderType"": ""string"",
  ""senderName"": ""string"",
  ""senderAvatarUrl"": ""string"",
  ""content"": ""string"",
  ""createdAt"": ""string""
}"
campaign-controller	POST	/api/v1/campaigns/{id}/publish-to-b2b		Public	Ref: PublishToB2BRequest	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
campaign-controller	GET	/api/v1/campaigns/{id}/commitments		Public		OK (200):
campaign-controller	POST	/api/v1/campaigns/{id}/commitments		Public	Ref: CreateCommitmentRequest	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
auth-controller	POST	/api/v1/auth/register/farmer		Public	Ref: FarmerRegisterRequest	"OK (200):
{
  ""accessToken"": ""string"",
  ""refreshToken"": ""string"",
  ""tokenType"": ""string"",
  ""expiresIn"": 0
}"
auth-controller	POST	/api/v1/auth/register/enterprise		Public	Ref: EnterpriseRegisterRequest	"OK (200):
{
  ""accessToken"": ""string"",
  ""refreshToken"": ""string"",
  ""tokenType"": ""string"",
  ""expiresIn"": 0
}"
auth-controller	POST	/api/v1/auth/register/coop		Public	Ref: CoopRegisterRequest	"OK (200):
{
  ""accessToken"": ""string"",
  ""refreshToken"": ""string"",
  ""tokenType"": ""string"",
  ""expiresIn"": 0
}"
auth-controller	POST	/api/v1/auth/login		Public	Ref: LoginRequest	"OK (200):
{
  ""accessToken"": ""string"",
  ""refreshToken"": ""string"",
  ""tokenType"": ""string"",
  ""expiresIn"": 0
}"
voice-diary-controller	GET	/api/v1/voice-diary/plot/{plotId}	Get diaries by plot	Public		OK (200):
voice-diary-controller	GET	/api/v1/voice-diary/plot/{plotId}/profit	Calculate profit	Public		"OK (200):
{
  ""totalRevenue"": {},
  ""totalExpense"": {},
  ""profit"": {},
  ""expenseBreakdown"": {}
}"
Sourcing Requests	GET	/api/v1/sourcing-requests/{id}	Get sourcing request by ID	Public		"Successfully retrieved sourcing request (200):
{
  ""id"": ""string"",
  ""productName"": ""string"",
  ""quantity"": {},
  ""unit"": ""string"",
  ""expectedPrice"": {},
  ""deadline"": ""string"",
  ""requirements"": ""string"",
  ""status"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string""
}

Sourcing request not found (404):
{
  ""id"": ""string"",
  ""productName"": ""string"",
  ""quantity"": {},
  ""unit"": ""string"",
  ""expectedPrice"": {},
  ""deadline"": ""string"",
  ""requirements"": ""string"",
  ""status"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string""
}"
Sourcing Requests	GET	/api/v1/sourcing-requests/search	Search sourcing requests	Public		"Successfully retrieved search results (200):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}"
Sourcing Requests	GET	/api/v1/sourcing-requests/open	Get open sourcing requests	Public		"Successfully retrieved open sourcing requests (200):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}"
